,이름,우편번호,전화명,전화번호,상세 주소,지역,주소,위도,경도,개요,주최자 정보,주최자 연락처,주관사 정보,주관사 연락처,행사시작일,행사종료일,공연시간,행사장소,이벤트 홈페이지,이용요금,할인정보,관람소요시간,관람가능연령,예매처,행사장 위치안내,부대행사,프로그램,상세정보,진행형태,축제형태
400,더스테이힐링파크 힐링가을숲 2020,12463,더스테이힐링파크,031-580-3800,설악면 한서로268번길 134,경기도 가평군,"경기도 가평군 설악면 한서로268번길 134
			",37.6610364848,127.52240769229999,"DFD 라이프.컬처 그룹의 복합문화리조트 ‘더 스테이 힐링파크’는 생태 유산이 풍부한 가평의 보리산 기슭 30만평의 광활한 자연 속에서 문화와 스포츠, 휴식과 힐링을 즐길 수 있는 공간이다. '힐링가을숲'에서는 '트레저헌터', '포레스트백', '억새챌린지' 등 가을 숲 속에서 즐길 수 있는 다양한 프로그램들을 만나볼 수 있다.",더스테이힐링파크,031-580-3800,더스테이힐링파크,,20200928,20201115,9:00 ~ 22:00,더스테이힐링파크,,"가든입장권 : 5,000원, 포레스트백 : 85,000원",,,,,,,,"행사소개:DFD 라이프.컬처 그룹의 복합문화리조트 ‘더 스테이 힐링파크’는 생태 유산이 풍부한 가평의 보리산 기슭 30만평의 광활한 자연 속에서 문화와 스포츠, 휴식과 힐링을 즐길 수 있는 공간이다. '힐링가을숲'에서는 '트레저헌터', '포레스트백', '억새챌린지' 등 가을 숲 속에서 즐길 수 있는 다양한 프로그램들을 만나볼 수 있다.
행사내용:트레저헌터 : 숲속 곳곳에 숨겨있는 보물 찾기
포레스트백 : 숲에서 즐기는 커피 한잔의 여유
억새챌린지 : 수국과 함께하는 인생샷 챌린지
",,
401,광주 ACE Fair 2020,61958,문화체육관광부 광주광역시,ACE Fair 사무국 062-611-2246,상무누리로 30(치평동),광주광역시 서구,광주광역시 서구 상무누리로 30(치평동),35.1469291222,126.84053667180001,"<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 기존 9월 축제 → 11월로 연기</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>국내 최대 규모의 종합문화콘텐츠 전문전시회인 ‘2020 광주 ACE Fair’는 아시아문화중심도시 광주의 대표 브랜드 전시회로 캐릭터, 방송, 게임, 애니메이션, 지식정보 등 문화콘텐츠 전 장르를 아우르는 제품 전시와 라이선싱 상담회, 문화콘텐츠 잡페어, 학술행사, 비즈니스 행사, 특별․부대행사 등 다채로운 프로그램으로 꾸며진다.",문화체육관광부 광주광역시,ACE Fair 사무국 062-611-2246,"김대중컨벤션센터, 한국콘텐츠진흥원, 대한무역투자진흥공사, 광주정보문화산업진흥원, 광주디자인센터, 한국케이블TV방송협회",ACE Fair 사무국 062-611-2246,20201105,20201108,,김대중컨벤션센터,www.kdjcenter.or.kr,홈페이지 참고,,기간 내 자유,전연령 가능,,,,,"행사소개:<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 기존 9월 축제 → 11월로 연기</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>국내 최대 규모의 종합문화콘텐츠 전문전시회인 ‘2020 광주 ACE Fair’는 아시아문화중심도시 광주의 대표 브랜드 전시회로 캐릭터, 방송, 게임, 애니메이션, 지식정보 등 문화콘텐츠 전 장르를 아우르는 제품 전시와 라이선싱 상담회, 문화콘텐츠 잡페어, 학술행사, 비즈니스 행사, 특별․부대행사 등 다채로운 프로그램으로 꾸며진다.
",,
402,전주세계소리축제 2020,54901,전라북도,063-232-8398,상무누리로 30(치평동),광주광역시 서구,"온라인개최
			",35.8552677836,127.1376810758,"<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 온라인개최</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>한국 전통음악을 알리고, 세계의 음악적 유산과 폭넓게 교류하고 소통하기 위해 전라북도 전주에서 해마다 열리는 문화예술제로 2000년 예비축제를 거쳐 2001년부터 정식으로 시작되었다.",전라북도,063-232-8398,전주세계소리축제조직위원회,,20200916,20200920,공연마다 상이함,온라인개최,,작품마다 상이함,,,공연마다 다름,공식 홈페이지 참고,,,,"행사소개:<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 온라인개최</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>한국 전통음악을 알리고, 세계의 음악적 유산과 폭넓게 교류하고 소통하기 위해 전라북도 전주에서 해마다 열리는 문화예술제로 2000년 예비축제를 거쳐 2001년부터 정식으로 시작되었다.
행사내용:개막공연 / 폐막공연 / 전통공연 / 해외초청공연 / 어린이공연 / 대중음악콘서트 
",,
403,탐라문화제 2020,63276,한국예총제주도연합회,064-753-3287,상무누리로 30(치평동),광주광역시 서구,"온라인개최
			",33.513045615100005,126.5279252356,"<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 온라인개최</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>탐라문화제는 지난 1962년 문화예술인들이 참여한 순수예술단체인 제주예총이 주최하여 '제주예술제'라는 이름으로 탄생되었다.<br><br>제주예술제는 1965년 4회 때부터 한라문화제로 이름을 바뀌면서 전통문화와 현대예술이 조화를 이룬 종합적인 향토문화축제로 전환되면서 더욱 다채로워져서 제주를 대표하는 문화축전으로 그 위상을 한껏 드높였다. 이처럼 성장해 온 한라문화제는 2002년 제41회부터 '탐라문화제'로 개칭하고 '제주의 유구한 역사와 고유한 문화전통'을 되살리는 문화축제로 그 성격과 내용을 재정립했다.<br><br>탐라문화제는 개천예술제와 백제문화제와 더불어 전국의 3대문화축제로 성장하였고, 2004년부터는 문화관광부에서 우수 지역 민속축제로 지정되기도 했다.<br><br>탐라문화제에서 발굴된 방앗돌굴리는노래와 귀리겉보리농사일소리, 멸치후리는소리와 해녀노래, 불미공예를 비롯한 여러 민요 종목들이 제주도무형문화재로 지정되어 보배로운 문화유산으로 보존 전승되고 있다. 탐라문화제는 제주의 축제 발전에도 크게 공헌했다. 조랑말경주는 제주마 축제로 성장했고 남제주군의 특성행사로 열렸던 성읍민속마을의 정의골한마당축제와 덕수리전통민속재현행사는 지역문화축제로 발전하면서 그 우수성을 널리 떨치고 있으며 도내 수협들이 주관했던 바다축제는 제주해녀문화축제로 승화되어 세계화를 도모하고 있다.<br><br>전국의 다양한 축제 중에서도 유일하게 열려 오고 있는 언어축제인 '제주어 축제'는 사라져 가는 구수한 제주사투리를 생활 속에 되살리는 중심 축제로 성장하여, '제주어보존전승조례'를 제정하는 문화정책으로 승화되었고 다양한 측면에서 제주어교육과 연구를 확산시키는데 기여하고 있다.",한국예총제주도연합회,064-753-3287,탐라문화제추진위원회,,20201007,20201011,10:00~21:00,온라인개최,,무료,,기간내자유,전연령가능,,"* 공항 - 약6분(5.5km)
&nbsp;제주공항 및 부두→신제주→우회전→오일시장→도두→이호테우해변 &nbsp;<br>
* 중문 - 약37분(37.1km)<br>
&nbsp;중문관광단지→평화로(구서부관광도로)→하귀→이호테우해변 &nbsp;&nbsp;<br>
* 서귀포 - 약46분(45.5km)<br>
&nbsp;서귀포→5.16도로→제주대학교→법원→세무서→신제주→오일시장→도두→이호테우해변<br /><br />* 
제주시에서 하귀행 시내버스를 타고 이호해수욕장 입구에서 하차, 버스정류장에서 걸어서 5분 거리 위치 <br>",,,"행사소개:<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 온라인개최</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>탐라문화제는 지난 1962년 문화예술인들이 참여한 순수예술단체인 제주예총이 주최하여 '제주예술제'라는 이름으로 탄생되었다.<br><br>제주예술제는 1965년 4회 때부터 한라문화제로 이름을 바뀌면서 전통문화와 현대예술이 조화를 이룬 종합적인 향토문화축제로 전환되면서 더욱 다채로워져서 제주를 대표하는 문화축전으로 그 위상을 한껏 드높였다. 이처럼 성장해 온 한라문화제는 2002년 제41회부터 '탐라문화제'로 개칭하고 '제주의 유구한 역사와 고유한 문화전통'을 되살리는 문화축제로 그 성격과 내용을 재정립했다.<br><br>탐라문화제는 개천예술제와 백제문화제와 더불어 전국의 3대문화축제로 성장하였고, 2004년부터는 문화관광부에서 우수 지역 민속축제로 지정되기도 했다.<br><br>탐라문화제에서 발굴된 방앗돌굴리는노래와 귀리겉보리농사일소리, 멸치후리는소리와 해녀노래, 불미공예를 비롯한 여러 민요 종목들이 제주도무형문화재로 지정되어 보배로운 문화유산으로 보존 전승되고 있다. 탐라문화제는 제주의 축제 발전에도 크게 공헌했다. 조랑말경주는 제주마 축제로 성장했고 남제주군의 특성행사로 열렸던 성읍민속마을의 정의골한마당축제와 덕수리전통민속재현행사는 지역문화축제로 발전하면서 그 우수성을 널리 떨치고 있으며 도내 수협들이 주관했던 바다축제는 제주해녀문화축제로 승화되어 세계화를 도모하고 있다.<br><br>전국의 다양한 축제 중에서도 유일하게 열려 오고 있는 언어축제인 '제주어 축제'는 사라져 가는 구수한 제주사투리를 생활 속에 되살리는 중심 축제로 성장하여, '제주어보존전승조례'를 제정하는 문화정책으로 승화되었고 다양한 측면에서 제주어교육과 연구를 확산시키는데 기여하고 있다.
",,
404,달성대구현대미술제 2020,42917,달성군,053-659-4292,다사읍 강정본길 57,대구광역시 달성군,"대구광역시 달성군 다사읍 강정본길 57
			",35.841165296999996,128.4650638527,"1970년대 젊은작가들이 기성미술계의 경직성에 도전하며 다양한 미술실험을 펼쳤던 ‘대구현대미술제’의 정신을 계승하여 강정보 일원에서 열리는 현대미술축제이다. 달성 대구현대미술제가 개최되는 장소 강정은 1977년 ‘제3회 대구현대미술제’ 당시, 역대 최대규모인 200여명의 작가가 참여한 한국최초의 집단적 이벤트가 펼쳐진 장소로 그 의의를 가진다.
오늘날의 강정은 금호강과 낙동강이 만나는 지정학적 위치와 ‘동양 최대 수문’ 이라 불리는 강정보, 세계적인 건축가 하니 라시드가 디자인한 기하학적 디자인의 디아크 등 다양한 지역적 사회적 요소들이 갖추어져 있다.",달성군,053-659-4292,달성문화재단,053-659-4292,20200904,20201004,종일,강정보 디아크 광장,,무료,,기간내 자유,전연령 가능,,,,,"행사소개:1970년대 젊은작가들이 기성미술계의 경직성에 도전하며 다양한 미술실험을 펼쳤던 ‘대구현대미술제’의 정신을 계승하여 강정보 일원에서 열리는 현대미술축제이다. 달성 대구현대미술제가 개최되는 장소 강정은 1977년 ‘제3회 대구현대미술제’ 당시, 역대 최대규모인 200여명의 작가가 참여한 한국최초의 집단적 이벤트가 펼쳐진 장소로 그 의의를 가진다.
오늘날의 강정은 금호강과 낙동강이 만나는 지정학적 위치와 ‘동양 최대 수문’ 이라 불리는 강정보, 세계적인 건축가 하니 라시드가 디자인한 기하학적 디자인의 디아크 등 다양한 지역적 사회적 요소들이 갖추어져 있다.
행사내용:개막식, 전시해설프로그램, 체험프로그램 등
",,
405,고양국제무용제 2020,10409,"고양안무가협회, 고양문화재단",010-7794-5101,일산동구 중앙로 1286(마두동),경기도 고양시,경기도 고양시 일산동구 중앙로 1286(마두동),37.661200688899996,126.77400645290001,"<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 온라인개최</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>2015년 첫 회를 시작으로 올해 6회째를 맞이하는 <GIDF2020(제6회 고양국제무용제)>는 문화예술의 도시 고양시의 대표적인 문화예술축제이다. 순수 예술장르를 쉽게 접하기 어려운 지역사회에 무용을 중심으로 예술을 통해 시민과 함께 소통하는 '문화예술의 장'으로 큰 사랑을 받고 있다. 국내외 예술성 높은 무용 작품 공연 외에 지역 전문무용수의 역량강화를 위한 마스터클래스, 일반시민을 대상으로 하는 무용워크숍 등 다채로운 프로그램들로 구성되어 있다. 지역사회를 기반으로 민간이 주도하여 이루어낸 축제라는 의미에서 그 가치를 더하는 본 축제는 시민과 무용가가 춤을 통해 예술적 교감을 나누고 즐거움을 공유하는 의미있는 축제이다.","고양안무가협회, 고양문화재단",010-7794-5101,고양국제무용제조직위원회,,20200922,20200926,"2020년 9월 22일(화), 24일(목), 26일(토)<br>화,목요일/오후7시, 토요일/오후4시",고양아람누리 새라새극장,,전석무료(선착순 예약),,,,,,,,"행사소개:<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 온라인개최</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>2015년 첫 회를 시작으로 올해 6회째를 맞이하는 <GIDF2020(제6회 고양국제무용제)>는 문화예술의 도시 고양시의 대표적인 문화예술축제이다. 순수 예술장르를 쉽게 접하기 어려운 지역사회에 무용을 중심으로 예술을 통해 시민과 함께 소통하는 '문화예술의 장'으로 큰 사랑을 받고 있다. 국내외 예술성 높은 무용 작품 공연 외에 지역 전문무용수의 역량강화를 위한 마스터클래스, 일반시민을 대상으로 하는 무용워크숍 등 다채로운 프로그램들로 구성되어 있다. 지역사회를 기반으로 민간이 주도하여 이루어낸 축제라는 의미에서 그 가치를 더하는 본 축제는 시민과 무용가가 춤을 통해 예술적 교감을 나누고 즐거움을 공유하는 의미있는 축제이다.
행사내용:코로나19의 영향으로 해외 초청작 없이 국내 안무가의 작품으로만 구성된 올해 축제는 국내 현대무용 스타들이 대거 참여하여 수준 높은 12개 작품을 선보인다. 공연은 코로나19 확산 방지를 위해 비대면으로 진행되며 고양안무가협회 및 고양문화재단 유튜브 채널을 통해 공연 영상을 감상할 수 있다. 또한 사회적 거리두기 조치에 따라 마스터클래스 및 워크숍은 진행하지 않는다.
출     연:강윤나, 손관중, 이경은, 복미경, 장은정, 김윤정, 김영미, 모던테이블, 댑댄스프로젝트, 99아트컴퍼니, 마르코 루쏘 볼페, 김용걸댄스씨어터
참가안내:비대면 공연으로 유튜브 채널을 통해 공연 영상 감상
",,
406,청주전통공예페스티벌 2020,28501,청주시,070-4169-6543,일산동구 중앙로 1286(마두동),경기도 고양시,온라인개최(내덕동),36.6562491662,127.4923972539,"<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 온라인개최</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>올해 첫 선을 보이는 이번 축제는 지역 내 전통공예를 주제로 한 가장 큰 행사로, 청주공예비엔날레가 열리지 않는 해에 지역 전통공예의 발전과 전통공예 문화 확산을 위해 마련되었다.  

<2020 청주전통공예페스티벌>의 주제는 ‘갓취월장 ; 전통에 취하다’로, ‘나날히 발전한다’라는 뜻의 사자성어 ‘일취월장’에 우리나라 고유의 멋이 담긴 의관이자 전통 공예의 맥이 담긴 ‘갓’을 더해 ‘잊혀져가는 전통공예를 발굴하고 우리 일상에 자연스럽게 스며들게 해 전통을 계승해 나가자’는 의미를 담았다. 

코로나19로 인해 온라인으로 개최하는 이번 행사는‘충북무형문화재보존협회·충청북도공예명인회’와 공동으로 전시 콘텐츠를  기획하여, 지역 무형문화재와 명인들의 수준 높은 작품을 한 자리에서 만나볼 수 있다. 또한 작품의 제작 과정이 담긴 장인들의 시연과 지역공예의 미래를 함께 고민해보는 학술행사까지 다양한 프로그램이 사흘간의 축제를 꽉 채울 예정이다.",청주시,070-4169-6543,청주공예비엔날레조직위원회,,20200925,20200927,10:00~19:00,온라인개최,,무료,,,,,,,,"행사소개:<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 온라인개최</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>올해 첫 선을 보이는 이번 축제는 지역 내 전통공예를 주제로 한 가장 큰 행사로, 청주공예비엔날레가 열리지 않는 해에 지역 전통공예의 발전과 전통공예 문화 확산을 위해 마련되었다.  

<2020 청주전통공예페스티벌>의 주제는 ‘갓취월장 ; 전통에 취하다’로, ‘나날히 발전한다’라는 뜻의 사자성어 ‘일취월장’에 우리나라 고유의 멋이 담긴 의관이자 전통 공예의 맥이 담긴 ‘갓’을 더해 ‘잊혀져가는 전통공예를 발굴하고 우리 일상에 자연스럽게 스며들게 해 전통을 계승해 나가자’는 의미를 담았다. 

코로나19로 인해 온라인으로 개최하는 이번 행사는‘충북무형문화재보존협회·충청북도공예명인회’와 공동으로 전시 콘텐츠를  기획하여, 지역 무형문화재와 명인들의 수준 높은 작품을 한 자리에서 만나볼 수 있다. 또한 작품의 제작 과정이 담긴 장인들의 시연과 지역공예의 미래를 함께 고민해보는 학술행사까지 다양한 프로그램이 사흘간의 축제를 꽉 채울 예정이다.
행사내용:전시 
  [온라인] 충북무형문화재, 충북공예명인 등 작품 전시
  [온라인] 찾아가는 공방 : 충북무형문화재, 충북공예명인 등 작품 제작 과정 및 공방 소개 

작가와의 대화 
  [온라인] 공예작가의 작품 제작 과정과 철학을 들어보는 시간 
  일시 : 9월 26일(토) ~ 9월 27일(일) 매일 15:30~16:30(1일 1회/총 2회)
  * 공식 유튜브 라이브 실시간 중계

부대행사 
  [온라인] 공예와 관련 된 시연 및 공연 진행
  * 공식 유튜브 라이브 실시간 중계
",,
407,공주 문화재야행 2020,32546,공주시청,041-840-8204,제민천길 일원(반죽동),충청남도 공주시,충청남도 공주시 제민천길 일원(반죽동),36.4544351759,127.1219804447,"<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 기존 8월 축제 → 10월로 연기</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>근대문화유산이 펼쳐져 있는 공주의 원도심에서 자세히 바라 보면 더 예쁜 공주의 밤거리 

제민천을 따라 8야를 보여준다! 그런데 여기서 오늘 뭐행? 공주문화재야행~ 우리 모두 거리두고 안전하게 즐기자",공주시청,041-840-8204,공주시청·공주학연구원,041-840-8207,20201030,20201101,16:00~23:00,반죽동 대통사지 역사공원,,무료(일부 유료),,기간 내 자유,전연령 가능,,,,,"행사소개:<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 기존 8월 축제 → 10월로 연기</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>근대문화유산이 펼쳐져 있는 공주의 원도심에서 자세히 바라 보면 더 예쁜 공주의 밤거리 

제민천을 따라 8야를 보여준다! 그런데 여기서 오늘 뭐행? 공주문화재야행~ 우리 모두 거리두고 안전하게 즐기자
행사내용:① (야경) 3개 프로그램
- 제민천 별빛 음악회
- 월야장천(月夜長川) 제민천에 달이 뜨다
- 제민천 퍼레이드

② (야로) 4개 프로그램
- 모던 딴스구락부
- 제민천 인력거
- 원도심견학단
- 김구의 비밀지령

③ (야사) 3개 프로그램
- 아카이브로 보는 공주의 근대 풍경
- 근대~그랬슈
- 이야기 보따리

④ (야화) 3개 프로그램
- 계룡산철화분청, 근대를 빚다
- 근대 아틀리에
- 색 그리고 빛

⑤ (야설) 4개 프로그램
- 근대 톡톡(Talk) 터지다
- 나태주의 ""꼬마야, 너도 시인이다"" 
- 무형문화재공연
- 제민천 거리공연

⑥ (야식) 3개 프로그램
- 제민천 면(麵) 서다
- 근대 먹거리
- 공주 밤마실 야시장

⑦ (야시) 2개 프로그램
- 예술가의 거리
- 달밤낭만장터

⑧ (야숙) 1개 프로그램
- 기억의 공간, 공주하숙마을
",,
408,만해축전 2020,24606,"만해축전추진위원회, 강원도, 인제군, 동국대학교, 조선일보, (재)만해사상실천선양회",033-461-1588,북면 만해로 91(북면),강원도 인제군,강원도 인제군 북면 만해로 91(북면),38.1862375638,128.3166085986,"일생을 조국독립과 겨레사랑으로 일관한 만해 한용운 선사의 민족사상ㆍ자유사상을 선양함으로 민족정신을 함양하고 불교적 평화실천과 문학정신을 기려 민족의 사표로 삼고자 하며 인종, 종교, 국경을 초월한 만해대상의 운영을 통한 만해정신의 세계화와 더불어 만해선사의 실천정신과 개혁정신, 그리고 문학과 철학사상을 바탕으로 세계 속의 한국을 재조명하고 문화의 시대인 21세기에 걸맞는 새로운 시대정신과 문화예술 창조에 대한 연구와 지원, 그리고 남북과 좌우를 초월하는 만해정신의 선양과 새로운 가치창조에 그 취지를 둔다. 만해축전은 매년 8월 강원도 인제에 있는 만해마을에서 열리는 행사이다. 만해 한용운은 승려이자 시인이자 독립운동가로서 일생을 조국독립과 겨례사랑으로 일관하셨다. 한용운 선생의 만해정신 선양과 새로운 가치창조에 취지를 두고 열리는 축제로서 전국고교생백일장, 님의침묵서예대전 및 전시, 공연, 대동제 등 다양한 행사를 펼친다. <br>","만해축전추진위원회, 강원도, 인제군, 동국대학교, 조선일보, (재)만해사상실천선양회",033-461-1588,인제신문사,033-461-1588,20200812,20200814,14:00~17:00,동국대학교 만해마을캠퍼스 및 인제군 일원,http://manhae2003.dongguk.edu,,,축제기간내자유,전연령 가능함,,"자가운전 : <br />서울→양평→홍천→인제→한계삼거리(미시령방향)→12선녀탕입구→만해마을<br />서울→영동고속도로→중부고속도로(춘천방향)→홍천→인제→한계삼거리(미시령방향)→12선녀탕입구→만해마을<br /><br />버스 
:<br />동서울터미널→속초행(미시령 겨유)→양평→홍천→인제→원통→백담사입구 하차",,,"행사소개:일생을 조국독립과 겨레사랑으로 일관한 만해 한용운 선사의 민족사상ㆍ자유사상을 선양함으로 민족정신을 함양하고 불교적 평화실천과 문학정신을 기려 민족의 사표로 삼고자 하며 인종, 종교, 국경을 초월한 만해대상의 운영을 통한 만해정신의 세계화와 더불어 만해선사의 실천정신과 개혁정신, 그리고 문학과 철학사상을 바탕으로 세계 속의 한국을 재조명하고 문화의 시대인 21세기에 걸맞는 새로운 시대정신과 문화예술 창조에 대한 연구와 지원, 그리고 남북과 좌우를 초월하는 만해정신의 선양과 새로운 가치창조에 그 취지를 둔다. 만해축전은 매년 8월 강원도 인제에 있는 만해마을에서 열리는 행사이다. 만해 한용운은 승려이자 시인이자 독립운동가로서 일생을 조국독립과 겨례사랑으로 일관하셨다. 한용운 선생의 만해정신 선양과 새로운 가치창조에 취지를 두고 열리는 축제로서 전국고교생백일장, 님의침묵서예대전 및 전시, 공연, 대동제 등 다양한 행사를 펼친다. <br>
",,
409,전주독서대전 2020,55101,전주시,063-281-6535,북면 만해로 91(북면),강원도 인제군,온라인개최(동서학동),35.8098788724,127.15892759559999,"<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 온라인개최</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>전국 규모 행사인「2017 대한민국 독서대전」의 성공적 개최를 시작으로  2018년부터 이어온 전주독서대전은  전국의 출판인, 독서인, 교육인,  문화예술인이 모두 참여하는 전국 최대 규모의 독서박람회로써, 책 읽는 문화 조성을 위한 시민 참여형 예술축제 추진하고, 독서와 문화예술이 융합된 다양한 볼거리와 즐길 거리를 제공하며, 독서 관련 기관과 국민이 참여하는 책과 독서문화 공유의 장을 마련하는 등 전 국민 범 독서문화 확산과 독서 중흥을 일으키고, 더불어 전주문화특별시 지정의 발화점이 될 행사이다.",전주시,063-281-6535,전주시,063-281-6535,20200918,20200920,,전주독서대전 공식 유튜브·네이버TV,,무료,,,,,,,,"행사소개:<b>※ 코로나바이러스감염증-19 공지사항<br>※ 내용 : 온라인개최</b><br><u><a href=""https://korean.visitkorea.or.kr/notice/news_detail.do?nwsid=8cdd65e1-59f1-4904-8bc9-884001e40911"" title=""여행정보 변동사항 페이지로 이동"">→ 코로나바이러스감염증-19 여행정보 변동사항 확인하기</a></u><br><br>전국 규모 행사인「2017 대한민국 독서대전」의 성공적 개최를 시작으로  2018년부터 이어온 전주독서대전은  전국의 출판인, 독서인, 교육인,  문화예술인이 모두 참여하는 전국 최대 규모의 독서박람회로써, 책 읽는 문화 조성을 위한 시민 참여형 예술축제 추진하고, 독서와 문화예술이 융합된 다양한 볼거리와 즐길 거리를 제공하며, 독서 관련 기관과 국민이 참여하는 책과 독서문화 공유의 장을 마련하는 등 전 국민 범 독서문화 확산과 독서 중흥을 일으키고, 더불어 전주문화특별시 지정의 발화점이 될 행사이다.
",,
